0.00	0.87	3.60	0.87	3.60	572.7	13972.067826896231
0.10	1.00	-1.58	0.94	1.01	1205.1	4651.372713706275
0.20	1.43	-0.09	1.10	0.64	1205.1	0.0
0.30	0.98	0.44	1.14	-0.41	1205.1	0.0
0.40	1.01	0.41	1.14	0.25	1205.1	0.0
0.50	0.85	1.60	0.94	0.82	1205.1	0.0
0.60	1.12	3.34	0.99	1.78	124.6	-29207.0780454481
0.70	1.48	-1.50	1.15	1.15	75.9	-501.2111871776373
0.80	1.15	0.69	1.25	0.84	215.8	1293.5080903894525
0.90	1.11	2.39	1.25	0.53	1205.0	6273.729479684877
1.00	0.87	-0.38	1.04	0.90	1205.1	0.9999747282683823
1.10	0.96	-0.36	0.98	0.55	1205.0	-1.0000343334532267
1.20	1.34	-1.95	1.06	-0.90	1205.1	0.9999318169347148
1.30	1.18	1.98	1.16	-0.11	1205.1	0.0
1.40	0.96	-1.11	1.16	-0.36	1205.1	0.0
1.50	0.94	0.02	1.03	0.30	1205.1	0.0
1.60	0.98	1.38	0.96	0.10	1205.2	1.0000081062987651
1.70	1.43	-3.06	1.12	-0.55	1205.1	-0.999953272143455
1.80	1.32	1.58	1.24	-0.03	1205.0	-1.0001034843703276
1.90	1.13	-1.05	1.29	-0.84	1205.1	0.9999270492360876
2.00	0.85	0.40	1.10	0.31	1205.0	-1.000053408613137
2.10	1.07	2.08	1.02	0.48	1205.0	0.0
2.20	1.21	-1.40	1.04	0.36	1205.1	0.9998674568391281
2.30	1.34	2.05	1.21	0.91	1205.0	-1.0001154079088241
2.40	1.07	-0.41	1.20	0.08	1205.1	0.9999628080840407
2.50	0.84	-1.19	1.08	0.15	1205.1	0.0
2.60	1.03	0.18	0.98	-0.48	1205.1	0.0
2.70	1.26	-0.54	1.04	-0.52	1205.1	0.0
2.80	1.38	0.28	1.22	-0.03	1205.1	0.0
2.90	1.06	0.98	1.23	0.24	1205.0	-1.0000653309576195
3.00	0.79	-0.69	1.08	0.19	1205.3	2.9993878660165745
3.10	1.01	-0.48	0.96	-0.07	378.2	-15975.854321726754
3.20	1.20	0.66	1.00	-0.17	1205.0	5578.3358006897615
3.30	1.31	0.27	1.17	0.15	1205.0	0.0
3.40	0.94	-1.60	1.15	-0.23	327.8	-17957.51524652734
3.50	0.86	-0.27	1.04	-0.54	315.0	-128.96498419378716
3.60	0.97	-0.54	0.93	-0.81	299.5	-156.40711451990464
3.70	1.36	-1.30	1.07	-0.70	1205.1	5926.550387108249
3.80	1.38	0.39	1.24	-0.48	299.5	-19187.521228531015
3.90	1.04	0.01	1.26	-0.30	1205.1	5926.53189287698
4.00	0.74	-0.40	1.05	0.00	241.9	-21959.372589605053
4.10	0.98	-0.24	0.92	-0.21	265.8	235.73147213612833
4.20	1.28	-1.79	1.00	-0.81	213.4	-540.5748815702094
4.30	1.32	2.52	1.19	0.16	205.2	-82.38348559684599
